game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
746631,2024-06-06T17:10:00Z,2024-06-06,R,Final,Kansas City Royals,Cleveland Guardians,118,114,N,1,Tanner Bibee,Brady Singer,,,4,3,9,Bottom,5,Progressive Field,"['ESPN+', 'MLBN (out-of-market only)']",Series tied 1-1,Kansas City Royals,Cleveland Guardians,Sam Long,Hunter Gaddis,James McArthur,2024-06-06 - Kansas City Royals (4) @ Cleveland Guardians (3) (Final)
745657,2024-06-06T19:37:00Z,2024-06-06,R,Final,Seattle Mariners,Oakland Athletics,136,133,N,1,JP Sears,Bryan Woo,,,3,0,9,Bottom,10,Oakland Coliseum,[],SEA wins 2-1,Seattle Mariners,Oakland Athletics,Bryan Woo,JP Sears,Ryne Stanek,2024-06-06 - Seattle Mariners (3) @ Oakland Athletics (0) (Final)
745495,2024-06-06T22:40:00Z,2024-06-06,R,Final,Los Angeles Dodgers,Pittsburgh Pirates,119,134,N,1,Bailey Falter,Walker Buehler,,,11,7,9,Bottom,31,PNC Park,[],PIT wins 2-1,Los Angeles Dodgers,Pittsburgh Pirates,Michael Grove,Bailey Falter,,2024-06-06 - Los Angeles Dodgers (11) @ Pittsburgh Pirates (7) (Final)
744844,2024-06-06T22:45:00Z,2024-06-06,R,Final,Atlanta Braves,Washington Nationals,144,120,N,1,Mitchell Parker,Reynaldo López,,,5,2,9,Bottom,3309,Nationals Park,['MLB.tv Free Game'],ATL leads 1-0,Atlanta Braves,Washington Nationals,Aaron Bummer,Hunter Harvey,Raisel Iglesias,2024-06-06 - Atlanta Braves (5) @ Washington Nationals (2) (Final)
745738,2024-06-06T23:05:00Z,2024-06-06,R,Final,Minnesota Twins,New York Yankees,142,147,N,1,Marcus Stroman,Pablo López,,,5,8,9,Top,3313,Yankee Stadium,['MLBN (out-of-market only)'],NYY wins 3-0,New York Yankees,Minnesota Twins,Luke Weaver,Pablo López,Clay Holmes,2024-06-06 - Minnesota Twins (5) @ New York Yankees (8) (Final)
746707,2024-06-06T23:10:00Z,2024-06-06,R,Final,Chicago Cubs,Cincinnati Reds,112,113,N,1,Hunter Greene,Javier Assad,,,4,8,9,Top,2602,Great American Ball Park,['MLBN (out-of-market only)'],CIN leads 1-0,Cincinnati Reds,Chicago Cubs,Hunter Greene,Javier Assad,,2024-06-06 - Chicago Cubs (4) @ Cincinnati Reds (8) (Final)
745174,2024-06-06T23:45:00Z,2024-06-06,R,Final,Colorado Rockies,St. Louis Cardinals,115,138,N,1,Sonny Gray,Cal Quantrill,,,3,2,9,Bottom,2889,Busch Stadium,[],COL leads 1-0,Colorado Rockies,St. Louis Cardinals,Cal Quantrill,Sonny Gray,Tyler Kinley,2024-06-06 - Colorado Rockies (3) @ St. Louis Cardinals (2) (Final)
746784,2024-06-07T00:10:00Z,2024-06-06,R,Final,Boston Red Sox,Chicago White Sox,111,145,N,1,Jake Woodford,Tanner Houck,,,14,2,9,Bottom,4,Guaranteed Rate Field,[],BOS leads 1-0,Boston Red Sox,Chicago White Sox,Tanner Houck,Jake Woodford,,2024-06-06 - Boston Red Sox (14) @ Chicago White Sox (2) (Final)
745408,2024-06-07T01:40:00Z,2024-06-06,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,Randy Vásquez,Slade Cecconi,,,4,3,9,Bottom,2680,Petco Park,[],AZ leads 1-0,Arizona Diamondbacks,San Diego Padres,Kevin Ginkel,Jeremiah Estrada,Paul Sewald,2024-06-06 - Arizona Diamondbacks (4) @ San Diego Padres (3) (Final)
745169,2024-06-07T18:15:00Z,2024-06-07,R,Final,Colorado Rockies,St. Louis Cardinals,115,138,N,1,Lance Lynn,Austin Gomber,,,5,8,9,Top,2889,Busch Stadium,[],Series tied 1-1,St. Louis Cardinals,Colorado Rockies,JoJo Romero,Matt Carasiti,Ryan Helsley,2024-06-07 - Colorado Rockies (5) @ St. Louis Cardinals (8) (Final)
745496,2024-06-07T22:40:00Z,2024-06-07,R,Final,Minnesota Twins,Pittsburgh Pirates,142,134,N,1,Mitch Keller,Joe Ryan,,,0,3,9,Top,31,PNC Park,['Apple TV+'],PIT leads 1-0,Pittsburgh Pirates,Minnesota Twins,Mitch Keller,Joe Ryan,David Bednar,2024-06-07 - Minnesota Twins (0) @ Pittsburgh Pirates (3) (Final)
746466,2024-06-07T22:40:00Z,2024-06-07,R,Final,Milwaukee Brewers,Detroit Tigers,158,116,N,1,Reese Olson,Tobias Myers,,,10,0,9,Bottom,2394,Comerica Park,[],MIL leads 1-0,Milwaukee Brewers,Detroit Tigers,Tobias Myers,Reese Olson,,2024-06-07 - Milwaukee Brewers (10) @ Detroit Tigers (0) (Final)
744845,2024-06-07T22:45:00Z,2024-06-07,R,Final,Atlanta Braves,Washington Nationals,144,120,N,1,Jake Irvin,Chris Sale,,,1,2,9,Top,3309,Nationals Park,[],Series tied 1-1,Washington Nationals,Atlanta Braves,Jake Irvin,Chris Sale,Kyle Finnegan,2024-06-07 - Atlanta Braves (1) @ Washington Nationals (2) (Final)
745083,2024-06-07T22:50:00Z,2024-06-07,R,Final,Baltimore Orioles,Tampa Bay Rays,110,139,N,1,Aaron Civale,Cole Irvin,,,6,3,9,Bottom,12,Tropicana Field,[],BAL leads 1-0,Baltimore Orioles,Tampa Bay Rays,Cole Irvin,Aaron Civale,Craig Kimbrel,2024-06-07 - Baltimore Orioles (6) @ Tampa Bay Rays (3) (Final)
745737,2024-06-07T23:05:00Z,2024-06-07,R,Final,Los Angeles Dodgers,New York Yankees,119,147,N,1,Cody Poteet,Yoshinobu Yamamoto,,,2,1,11,Bottom,3313,Yankee Stadium,['Apple TV+'],LAD leads 1-0,Los Angeles Dodgers,New York Yankees,Michael Grove,Ian Hamilton,Yohan Ramírez,2024-06-07 - Los Angeles Dodgers (2) @ New York Yankees (1) (Final)
746704,2024-06-07T23:10:00Z,2024-06-07,R,Final,Chicago Cubs,Cincinnati Reds,112,113,N,1,Nick Lodolo,Justin Steele,,,2,3,9,Top,2602,Great American Ball Park,[],CIN leads 2-0,Cincinnati Reds,Chicago Cubs,Nick Lodolo,Justin Steele,Alexis Díaz,2024-06-07 - Chicago Cubs (2) @ Cincinnati Reds (3) (Final)
746053,2024-06-07T23:10:00Z,2024-06-07,R,Final,Cleveland Guardians,Miami Marlins,114,146,N,1,Ryan Weathers,Logan Allen,,,2,3,9,Top,4169,loanDepot park,[],MIA leads 1-0,Miami Marlins,Cleveland Guardians,Tanner Scott,Cade Smith,,2024-06-07 - Cleveland Guardians (2) @ Miami Marlins (3) (Final)
745008,2024-06-08T00:05:00Z,2024-06-07,R,Final,San Francisco Giants,Texas Rangers,137,140,N,1,Michael Lorenzen,Logan Webb,,,5,2,9,Bottom,5325,Globe Life Field,['MLBN (out-of-market only)'],SF leads 1-0,San Francisco Giants,Texas Rangers,Logan Webb,David Robertson,Camilo Doval,2024-06-07 - San Francisco Giants (5) @ Texas Rangers (2) (Final)
746302,2024-06-08T00:10:00Z,2024-06-07,R,Final,Seattle Mariners,Kansas City Royals,136,118,N,1,Daniel Lynch IV,Bryce Miller,,,9,10,9,Bottom,7,Kauffman Stadium,[],KC leads 1-0,Kansas City Royals,Seattle Mariners,Nick Anderson,Ryne Stanek,,2024-06-07 - Seattle Mariners (9) @ Kansas City Royals (10) (Final)
746785,2024-06-08T00:10:00Z,2024-06-07,R,Final,Boston Red Sox,Chicago White Sox,111,145,N,1,Garrett Crochet,Cooper Criswell,,,2,7,9,Top,4,Guaranteed Rate Field,"['MLBN (out-of-market only)', 'MLB.tv Free Game']",Series tied 1-1,Chicago White Sox,Boston Red Sox,Garrett Crochet,Cooper Criswell,Jonathan Cannon,2024-06-07 - Boston Red Sox (2) @ Chicago White Sox (7) (Final)
746220,2024-06-08T01:38:00Z,2024-06-07,R,Final,Houston Astros,Los Angeles Angels,117,108,N,1,Griffin Canning,Framber Valdez,,,7,1,9,Bottom,1,Angel Stadium,[],HOU leads 1-0,Houston Astros,Los Angeles Angels,Framber Valdez,Griffin Canning,,2024-06-07 - Houston Astros (7) @ Los Angeles Angels (1) (Final)
745406,2024-06-08T01:40:00Z,2024-06-07,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,Michael King,Brandon Pfaadt,,,3,10,9,Top,2680,Petco Park,[],Series tied 1-1,San Diego Padres,Arizona Diamondbacks,Michael King,Brandon Pfaadt,,2024-06-07 - Arizona Diamondbacks (3) @ San Diego Padres (10) (Final)
745655,2024-06-08T01:40:00Z,2024-06-07,R,Final,Toronto Blue Jays,Oakland Athletics,141,133,N,1,Hogan Harris,Chris Bassitt,,,1,2,9,Bottom,10,Oakland Coliseum,[],OAK leads 1-0,Oakland Athletics,Toronto Blue Jays,Mason Miller,Chad Green,,2024-06-07 - Toronto Blue Jays (1) @ Oakland Athletics (2) (Final)
